Model,DT
CTG-1334,11.9650406168086
CTG-1338,7.25153976776278
CTG-1344,14.076518372716
CTG-1376,13.8058160963176
CTG-1407,5.98252030840429
CTG-1472,8.0663195169496
CTG-1484,11.3952767779129
CTG-1489,13.5453290001607
CTG-1493,28.7160974803406
CTG-1494,13.8058160963176
CTG-1496,12.3776282242847
CTG-1510,6.24262988703056
CTG-1553,7.03825918635799
CTG-1579,11.5790715646535
CTG-1637,6.64724478711588
CTG-1701,8.44591102362958
CTG-1778,12.5947795966406
CTG-1825,14.9563007710107
CTG-1882,4.37745388419826
CTG-1905,17.509815536793
CTG-1951,18.4077547950901
CTG-1981,21.114777559074
CTG-2005,8.86299304948784
CTG-2067,16.6954055118259
CTG-2101,9.83427995902075
CTG-2157,7.32553507151546
CTG-2158,11.5790715646535
CTG-2164,5.88444620498783
CTG-2276,14.9563007710107
CTG-2281,10.4043831450509
CTG-2292,7.97669374453905
CTG-2351,15.2745199363514
CTG-2359,10.4043831450509
CTG-2360,19.4027685677977
CTG-2362,13.2944895742318
CTG-2368,7.17902437008515
CTG-2383,8.97378046260643
CTG-2410,17.9475609252129
CTG-2444,15.9533874890781
CTG-2598,26.5889791484635
CTG-2600,11.9650406168086
CTG-2612,11.217225578258
CTG-2712,22.4344511565161
CTG-2944,24.7552564485695
CTG-3069,19.9417343613476
CTG-3136,8.15798223873312
CTG-3272,35.8951218504257
CTG-3278,8.64942695190982
CTG-3291,19.4027685677977
CTG-3304,13.2944895742318
CTG-3360,11.5790715646535
CTG-3388,17.0929151668694
CTG-3397,10.1113019296974
CTG-3426,11.217225578258
CTG-3488,35.8951218504257
CTG-3491,17.0929151668694
CTG-3494,9.32340827283785
CTG-3536,10.8773096516442
CTG-3546,13.8058160963176
CTG-3579,11.217225578258
CTG-3604,10.4043831450509
CTG-3631,7.55686775798437
CTG-3716,14.076518372716
CTG-3727,32.6319289549325
CTG-3730,7.47815038550536
CTG-3778,11.9650406168086
CTG-3787,6.83716606674776
CTG-3819,5.35748087319787
CTG-3829,12.3776282242847
CTG-3948,12.1678379153986
CTG-3981,17.509815536793
CTG-0329,6.64724478711588
CTG-0331,14.9563007710107
CTG-0663,23.1581431293069
CTG-0714,7.55686775798437
CTG-0771,18.4077547950901
CTG-0785,6.90290804815879
CTG-0800,5.12787455006082
CTG-0816,11.217225578258
CTG-0855,65.263857909865
CTG-0866,17.0929151668694
CTG-0886,34.1858303337388
CTG-0898,5.3177958296927
CTG-0910,10.2557491001216
CTG-0926,9.83427995902075
CTG-0933,13.8058160963176
CTG-0969,25.6393727503041
CTG-0980,4.69217279090533
CTG-0993,6.9699265728982
CTG-0994,7.63725996817569
CTG-1005,15.6065747175764
CTG-1006,16.3159644774662
CTG-1008,14.3580487401703
CTG-1064,13.2944895742318
CTG-1069,23.9300812336172
CTG-1071,13.5453290001607
CTG-1079,17.9475609252129
CTG-1084,11.5790715646535
CTG-1095,14.3580487401703
CTG-1116,5.69763838895647
CTG-1126,11.217225578258
CTG-1143,32.6319289549325
CTG-1173,18.8921693949609
CTG-1182,18.8921693949609
CTG-1195,25.6393727503041
CTG-1213,7.8032873587882
CTG-1224,10.557388779537
CTG-1255,17.0929151668694
CTG-1299,6.64724478711588
CTG-1300,14.3580487401703
CTG-1302,27.6116321926352
CTG-1313,11.217225578258
CTG-1333,8.06631951694961
CTG-1336,17.0929151668694
CTG-1337,15.6065747175764
CTG-1339,9.08737262036095
CTG-1341,8.97378046260644
CTG-1413,5.60861278912902
CTG-1450,5.56513517060864
CTG-1451,5.27869438976849
CTG-1457,10.1113019296974
CTG-1458,10.2557491001216
CTG-1482,10.557388779537
CTG-1517,5.88444620498783
CTG-1542,6.70936857017304
CTG-1548,4.85069214194943
CTG-1549,14.076518372716
CTG-1554,14.076518372716
CTG-1572,12.819686375152
CTG-1587,16.6954055118259
CTG-1609,6.46758952259923
CTG-1651,8.06631951694961
CTG-1660,34.1858303337388
CTG-1663,6.18881411214237
CTG-1664,6.29738979832031
CTG-1695,22.4344511565161
CTG-1702,17.9475609252129
CTG-1841,11.9650406168086
CTG-1877,25.6393727503041
CTG-1884,3.75865150266238
CTG-1916,10.2557491001216
CTG-1947,11.0446528770541
CTG-2003,6.9029080481588
CTG-2004,9.08737262036095
CTG-2021,21.7546193032883
CTG-2041,10.8773096516442
CTG-2073,12.5947795966406
CTG-2076,8.34770275591296
CTG-2086,17.509815536793
CTG-2113,7.17902437008515
CTG-2127,12.5947795966406
CTG-2141,25.6393727503041
CTG-2142,6.35311891157978
CTG-2145,23.9300812336172
CTG-2153,5.52232643852704
CTG-2156,7.17902437008515
CTG-2166,23.9300812336172
CTG-2174,10.557388779537
CTG-2212,28.7160974803406
CTG-2247,14.9563007710107
CTG-2250,9.97086718067382
CTG-2252,18.4077547950901
CTG-2264,9.57203249344686
CTG-2265,18.4077547950901
